rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Number of Beds,Total Bed Days Available,Total Days Title XVIII,Total Days Total,Total Discharges Title XVIII,Total Discharges Total,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Net Income,DRG Amounts Other Than Outlier Payments,Total IME Payment,Allowable DSH Percentage,Cost To Charge Ratio
700001,939928,ALLEN-LOPEZ MEDICAL CENTER,09793 BOYD PLAINS,EAST JACK,WA,45002,LAKE STEPHANIEBURY COUNTY,37493,R,02/01/2022,01/28/2023,Proprietary - Corporation,139,50735,11624,26877,2354,5444,406711895.32,382862143.0,789574038.3199999,412982667.54,376591370.7799999,282018911.23,94572459.55,94572459.55,21622674.75,0,0.0606,0.4982
700002,205803,FORD-EVANS MEDICAL CENTER,63259 HUGHES VALLEY APT. 736,NORTH ABIGAIL,AL,42988,MATTHEWLAND COUNTY,33700,U,04/01/2022,03/28/2023,Voluntary Non-profit - Other,188,68620,24577,54365,5214,11534,1057730159.26,707913025.15,1765643184.4099998,570631971.88,1195011212.5299997,1057890124.49,137121088.04,137121088.04,56195074.43,0,0.2645,0.5605
700003,913803,MURRAY PLC MEDICAL CENTER,16452 JENNINGS BURGS APT. 822,NORTH JENNIFERSHIRE,AZ,04072,DANIELMOUTH COUNTY,45005,R,05/01/2022,04/28/2023,Voluntary Non-profit - Other,702,256230,68149,156013,15268,34954,1255718893.42,603751079.91,1859469973.33,687061884.09,1172408089.2399998,970793104.99,201614984.25,201614984.25,95903216.03,13595728.67,0.3092,0.4296
700004,608517,"WALLACE, SMITH AND GRAHAM MEDICAL CENTER",0246 JULIE HARBORS APT. 667,WEST MARY,MA,70562,JERMAINEBOROUGH COUNTY,19363,R,04/01/2022,03/28/2023,Voluntary Non-profit - Other,680,248200,81378,195676,15441,37129,2864879041.33,1274155979.37,4139035020.7,2092077935.38,2046957085.3199997,1781871152.17,265085933.15,265085933.15,160936558.64,18238755.95,0.1351,0.3132
700005,597252,"HERNANDEZ, PAUL AND FERGUSON MEDICAL CENTER",55282 AYALA COURTS SUITE 033,PORT SARA,TN,55574,BARNESPORT COUNTY,49052,U,01/01/2022,12/28/2023,Government - State,576,210240,68754,130867,9598,18270,890732636.63,512577981.11,1403310617.74,770956964.02,632353653.72,475504326.84,156849326.88,156849326.88,143843507.79,17688481.8,0.2189,0.3158
700006,742743,PORTER-JACKSON MEDICAL CENTER,742 ELLIS SUMMIT,SOUTH TYLER,TN,63384,VEGABURY COUNTY,29558,U,02/01/2022,01/28/2023,Government - State,36,13140,3965,10318,556,1449,109859688.73,111494289.51,221353978.24,85230992.04,136122986.2,105632024.13,30490962.07,30490962.07,8990214.32,0,0.4388,0.2874
700007,208962,MEDINA LTD MEDICAL CENTER,565 CARRIE FREEWAY SUITE 385,NEW KAREN,MO,80426,MCCORMICKVILLE COUNTY,14535,U,01/01/2022,12/28/2023,Voluntary Non-profit - Other,190,69350,29558,50650,4967,8512,153590834.45,101266253.21,254857087.65999997,77698072.76,177159014.89999998,169569157.02,7589857.88,7589857.88,29855288.94,0,0.4012,0.2493
700008,382049,"JOHNSON, MORRIS AND HILL MEDICAL CENTER",7023 WOOD RUE,WALKERSTAD,OH,19730,JASMINEFURT COUNTY,32156,U,02/01/2022,01/28/2023,Government - State,587,214255,63644,125210,10262,20189,1862555248.62,2129144260.97,3991699509.59,1951207781.63,2040491727.96,1842990604.66,197501123.3,197501123.3,102434951.48,14028449.29,0.2306,0.4791
700009,707669,MARTINEZ INC MEDICAL CENTER,2315 KEVIN WALK,NORTH LARRY,TX,22782,VAZQUEZFURT COUNTY,22478,U,02/01/2022,01/28/2023,Voluntary Non-profit - Church,250,91250,26827,47705,6104,10856,251748743.07,107026035.39,358774778.46,137269785.53,221504992.92999998,186218587.14,35286405.79,35286405.79,61014520.64,8219253.86,0.2805,0.5359
700010,412235,TAYLOR-KELLY MEDICAL CENTER,15169 RICHARD PARK APT. 945,JEFFERYSIDE,MO,66431,GARCIAVILLE COUNTY,39041,U,04/01/2022,03/28/2023,Voluntary Non-profit - Church,458,167170,69278,113730,15821,25973,1774373353.55,1627000647.26,3401374000.81,1071953793.67,2329420207.14,1994277502.15,335142704.99,335142704.99,132940528.47,5081478.69,0.1234,0.2073
